Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      117     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       97     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00       90     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00       74     0.00     0.00  unsigned long const& std::forward<unsigned long const&>(std::remove_reference<unsigned long const&>::type&)
  0.00      0.00     0.00       70     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       65     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00       61     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00       61     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00       56     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00       43     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00       42     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00       41     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00       39     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00       38     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::_Deque_iterator(std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*> const&)
  0.00      0.00     0.00       37     0.00     0.00  void __gnu_cxx::new_allocator<unsigned long>::construct<unsigned long, unsigned long const&>(unsigned long*, unsigned long const&)
  0.00      0.00     0.00       37     0.00     0.00  void std::allocator_traits<std::allocator<unsigned long> >::construct<unsigned long, unsigned long const&>(std::allocator<unsigned long>&, unsigned long*, unsigned long const&)
  0.00      0.00     0.00       37     0.00     0.00  std::deque<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long const&)
  0.00      0.00     0.00       35     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00       32     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00       32     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       32     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00       32     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00       32     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00       32     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       31     0.00     0.00  std::_Deque_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       31     0.00     0.00  std::deque<unsigned long, std::allocator<unsigned long> >::end()
  0.00      0.00     0.00       29     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00       29     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00       29     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00       29     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00       27     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00       27     0.00     0.00  std::deque<unsigned long, std::allocator<unsigned long> >::empty() const
  0.00      0.00     0.00       27     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       27     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00       27     0.00     0.00  std::operator==(std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*> const&, std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*> const&)
  0.00      0.00     0.00       25     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.00     0.00       24     0.00     0.00  void __gnu_cxx::new_allocator<unsigned long>::destroy<unsigned long>(unsigned long*)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00       24     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::operator*() const
  0.00      0.00     0.00       24     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::operator--()
  0.00      0.00     0.00       24     0.00     0.00  void std::allocator_traits<std::allocator<unsigned long> >::destroy<unsigned long>(std::allocator<unsigned long>&, unsigned long*)
  0.00      0.00     0.00       24     0.00     0.00  std::deque<unsigned long, std::allocator<unsigned long> >::back()
  0.00      0.00     0.00       24     0.00     0.00  std::deque<unsigned long, std::allocator<unsigned long> >::pop_back()
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       22     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00       19     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00       18     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00       18     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       18     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00       18     0.00     0.00  std::vector<int, std::allocator<int> >* std::__niter_base<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00       18     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       18     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       15     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long*>::new_allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<unsigned long*>::~new_allocator()
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_base<unsigned long, std::allocator<unsigned long> >::_M_get_map_allocator() const
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<unsigned long*>::allocator<unsigned long>(std::allocator<unsigned long> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<unsigned long*>::~allocator()
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::_M_set_node(unsigned long**)
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::_S_buffer_size()
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<unsigned long, unsigned long&, unsigned long*>::_Deque_iterator()
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.00     0.00       14     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::_M_max_size() const
  0.00      0.00     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00       11     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00       11     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
